req_tag,distinct_IDs
struc2lammpsdf,197
handsonpinns,122
uvspec,99
crystalviewer,96
mseml,85
polymod,69
browse,62
jfetlab,57
atcadlab,56
contactmaps,56
mosfetsat,52
pnjunctionlab,52
tcacademic,46
jupyter,42
qdot,42
oommf,41
dftqe,39
moscap,36
1308,33
intromllab,32
bjt,30
s4sim,29
,28
nanomos,28
pntoy,27
10545,25
3842,25
bandstrlab,24
sqsatat,24
lcoe,23
rdf,23
dualfoil,22
mosfet,22
purdueme581,22
kronigpenneylab,21
lammpstool,21
oof2,21
26958,20
edusemi,19
imagesegment,19
senstran,19
wulffman,18
28293,17
dftmatprop,17
cntfet,16
cntnemscant,16
veda,16
biolabisfet,13
rtdnegf,13
vides,13
abacus,12
advte,12
agpvsim,12
convn,12
joommf,12
nanomatmech,12
schred,12
22339,11
meltheas,11
memristor,11
pcpbt,11
abinit,10
complam,10
dda,10
kronig_penney,10
photonicsrt,10
prolabcdd,10
struct2lammps,10
thermalcond,10
vsmod,10
6804,9
btesolver,9
dftldahelium,9
fdical,9
meep,9
orcatool,9
straincalc,9
thermo,9
voidfrac,9
amobt,8
compactmodels,8
mos,8
moscntr,8
msugmmpc,8
mtjlab,8
nanoindentation,8
nccpf,8
10913,7
27283,7
3843,7
450,7
bayesopt,7
ddaconvert,7
ddaplus,7
fgmbuilder,7
fibmd,7
gfettool,7
Matdcal,7
mgnanowirefet,7
nanofet,7
prolabox,7
reaxff597a,7
workspace,7
17665,6
5359,6
archimedes,6
biolab,6
covid19analysis,6
dbrlaser,6
fibstream,6
introtosimtools,6
matrix2surface,6
pc4covid19,6
photonicsdb,6
pub,6
qstem,6
youngsmod,6
30921,5
34042,5
5237,5
6977,5
9230,5
citrinednn,5
cnegfmos,5
dsers,5
extcs,5
gamian,5
gpuheompop,5
gscan,5
lantrap,5
megnet,5
mif,5
moose,5
nanocmos,5
npassemblylab,5
nsoptics,5
padre,5
phononlifetime,5
prismspfmisfit,5
prophet,5
r0estimator2,5
semi,5
sha2d,5
straincomp,5
tedev,5
2464,4
2dfets,4
9269,4
bowtie,4
cc3dbase4x,4
cellsorthexcc3d,4
chemae,4
citrinetools,4
dsmc,4
fettoy,4
fiona,4
license,4
maml,4
matlabdata,4
mdanalysis,4
mldefect,4
msemlg,4
nanoconfinement,4
nsmmaster,4
pc4livermedium,4
radcool,4
tbmodel,4
tpl,4
tsuprem4,4
ttmmd,4
tunnelfet,4
vkmllive,4
waveguides,4
22854,3
22855,3
24698,3
30839,3
35147,3
3982,3
4130,3
4875,3
8228,3
adac,3
cc3dcovid19,3
compcatal,3
compfilsim3d,3
cvgraph,3
echem,3
gibbs,3
greentherm,3
jupyter44,3
mastmltutorial,3
medici,3
meeppv,3
mesfet,3
mixedgasdiff,3
moca,3
NANOFINFET,3
netdebugger,3
nnrf,3
nrr,3
nsoptics3d,3
nusimm,3
owetp,3
pc4heterogen,3
pete,3
photonicspos,3
photonicstk,3
polymerxtal,3
pvanalyzer,3
pvpanelsim,3
qcrf4photo,3
qwalk,3
rtd,3
s4editor,3
sbcnfet,3
semidop,3
shakefracture,3
siesta,3
tddb,3
tellurium,3
temlattice,3
xas,3
xpsts,3
1305,2
1307,2
14139,2
1692,2
26057,2
2704,2
29150,2
30791,2
32625,2
adeptnpt,2
annihilate,2
asilicon,2
barefoot,2
biomoca,2
breakcalc1,2
brillouin,2
bsvirdcovid19mo,2
calibdriver,2
carrierconc,2
cc3dvasctumor,2
cndo,2
cnia,2
comphydrogennb,2
crystal_viewer,2
databases,2
deltanotchcc3d,2
devrel,2
diffusionfcc,2
dsmc0d,2
exdynamics,2
fermi,2
gsaimage,2
gscompaction,2
HTDFT,2
imagej,2
imod,2
jupyterexamples,2
lorentzfit,2
mage,2
matdatarepo,2
minimol,2
mobiresis,2
mpb,2
msl,2
mstaracademic,2
nanobiophotsim,2
nanonet,2
nsmch6master,2
nuitns,2
opv,2
pc3types,2
pc4cancerbots,2
pc4cancerimmune,2
pc4nanobio,2
piezoharvest,2
pimc,2
pumet,2
pvlimits,2
qdotjuptest,2
qdotled,2
qpc,2
resistorcode,2
romdegradation,2
spice3f4,2
spinqugate,2
stickslip,2
teg,2
virion2pbpd,2
viscoindent,2
vsepr,2
xrdinteract,2
10046,1
1091,1
10917,1
1092,1
11431,1
12697,1
13801,1
13976,1
14316,1
14816,1
1497,1
15162,1
15167,1
18570,1
18604,1
18771,1
1879,1
1881,1
18845,1
18973,1
21144,1
21363,1
21414,1
21854,1
220,1
22366,1
22484,1
22509,1
229,1
24924,1
2531,1
2607,1
26608,1
27751,1
27771,1
27892,1
28586,1
29432,1
30341,1
30368,1
30408,1
31004,1
31056,1
31858,1
32310,1
3288,1
3307,1
33550,1
33863,1
34242,1
34328,1
34483,1
34673,1
35049,1
35191,1
3741,1
452,1
5116,1
5120,1
5121,1
5126,1
5422,1
6539,1
6654,1
9559,1
9914,1
9948,1
acmenpds,1
adept,1
angiogencc3d,1
appapi,1
aqme,1
arbd,1
bacmacrocc3d4,1
biophet,1
BMCsuite,1
bor1,1
bsclab,1
cadnanocvrt,1
capsidsouffle,1
cc3dcellsort3d,1
cc3dwfdrain,1
ccamt,1
chm37301,1
cmtcomb3,1
cntbte,1
compucell3d,1
coulombsim,1
coviddrugexp,1
covidvaccinemod,1
dakotacalibrate,1
ddscatshapegene,1
ddsolarcell,1
deformnanowire,1
dimredmatdecmp,1
dpowj,1
drivergen,1
energycurve,1
fibpredictor,1
gibbsads,1
gitlocaltool,1
gprpiezo,1
graft,1
gresq,1
hcius,1
henrycoeff,1
htoxideprop,1
htworkspace,1
iavmodule,1
illustmath,1
immunesys2ode,1
jupyterlab,1
laserdyn,1
matsimtk,1
mcpt,1
mdsandbox,1
mdshocks,1
meltingkim,1
memscreep,1
micelle,1
ml4ecg,1
molexpl,1
mosctool,1
mot2ddemocc3d,1
multiscaletec,1
nanoarray,1
nanofilm,1
nanoin,1
nanossl,1
neursynch,1
nhnetgen,1
nselectrostatic,1
nwabsorption,1
octaview,1
omenhfet,1
omenwire,1
opvdm,1
pb4covid19,1
pc4sbml,1
pc4thanos,1
pc4tumor3d,1
pc4tumorhypoxia,1
photonicvasefit,1
pigmenthunter,1
projectile,1
qudosim,1
r2roptimizer,1
rjupyternb,1
sfedemo,1
smdc,1
snap,1
solidifpure,1
spectralnemd,1
stick2d,1
sugar,1
sugarcubecad,1
sugartangcd,1
surfevolvergui,1
swntjiv,1
testgain0d,1
tgnb,1
toolshortname,1
tpvexpt,1
tpvtest,1
trmechanics,1
vb6dosenumber,1
virion2response,1
vkmlsd3d,1
wirecasting,1
