request_date,request_time,IP,req,req_URL,RC,refer_name,refer_url,agent,req_type,req_tag,req_residue,resource_type,resource_title
2021-08-08,05:15:21,102.157.121.7,GET,/tools/mastmltutorial,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",tool,mastmltutorial,,,
2021-08-31,03:28:04,103.21.125.83,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-31,03:23:03,103.21.125.83,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,jupyter,,,
2021-08-24,05:35:36,103.212.212.2,GET,/tools/crystal_viewer/invoke?params=file%28simset%29%3A%2Fdata%2Ftools%2Fshared%2Ffaltens%2Fcrystal_viewer%2FSiPlanes%2FSiPlanes.sav,302,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,crystal_viewer,invoke?params=file%28simset%29%3A%2Fdata%2Ftools%2Fshared%2Ffaltens%2Fcrystal_viewer%2FSiPlanes%2FSiPlanes.sav,,
2021-08-25,07:35:53,103.73.45.10,GET,/tools/mldefect,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,mldefect,,,
2021-08-13,03:46:12,103.84.178.39,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,imagesegment,,,
2021-08-20,21:53:52,104.186.143.89,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-20,21:53:41,104.186.143.89,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,jupyter,,,
2021-08-11,19:38:25,104.244.209.54,GET,/resources/agpvsim,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,agpvsim,,,
2021-08-21,18:49:19,107.77.229.22,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Mobile/15E148 Safari/604.1",tool,imagesegment,,,
2021-08-15,23:12:50,108.55.6.44,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,intromllab,,,
2021-08-15,23:13:01,108.55.6.44,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,jupyter,,,
2021-08-01,06:43:28,114.130.157.99,GET,/tools/mseml,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36 Edg/91.0.864.70",tool,mseml,,,
2021-08-01,01:52:36,115.132.6.42,GET,/tools/mseml,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",tool,mseml,,,
2021-08-09,07:16:39,122.178.34.246,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,jupyter,,,
2021-08-12,01:25:55,124.13.174.116,GET,/resources/agpvsim,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,agpvsim,,,
2021-08-06,08:03:28,128.62.40.153,GET,/tools/cc3dbase4x/invoke/12,302,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0",tool,cc3dbase4x,invoke/12,,
2021-08-06,09:58:11,130.18.104.67,GET,/tools/nanomatmech/,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,nanomatmech,,,
2021-08-24,08:42:43,130.70.10.137,GET,/tools/lammpstool/invoke/46,302,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,lammpstool,invoke/46,,
2021-08-06,14:54:50,130.74.58.28,GET,/resources/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.62",tool,jupyter,,,
2021-08-06,14:54:49,130.74.58.28,GET,/tools/mseml,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.62",tool,mseml,,,
2021-08-16,06:01:08,132.180.104.25,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,intromllab,,,
2021-08-25,17:23:16,134.134.137.83,GET,/tools/mldefect,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,mldefect,,,
2021-08-25,13:58:35,134.134.139.70,GET,/tools/omenwire/invoke/144,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,omenwire,invoke/144,,
2021-08-23,01:58:19,134.147.175.97,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-01,11:08:26,134.147.254.245,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/watch?v=VagRsuPrctQ,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.1 Safari/605.1.15",tool,imagesegment,,,
2021-08-24,02:25:33,134.147.254.42,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-24,02:25:37,134.147.254.42,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,jupyter,,,
2021-08-10,05:01:28,134.226.128.28,GET,/tools/nanomatmech,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",tool,nanomatmech,,,
2021-08-01,06:17:53,136.49.120.78,GET,/tools/cc3dbase4x/session?sess=1863233,302,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0",tool,cc3dbase4x,session?sess=1863233,,
2021-08-14,17:19:07,138.23.112.73,GET,/resources/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,jupyter,,,
2021-08-13,16:43:36,138.23.112.73,GET,/tools/maml,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,maml,,,
2021-08-23,16:20:04,138.23.112.73,GET,/tools/mseml,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,mseml,,,
2021-08-06,01:27:26,140.0.61.224,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,intromllab,,,
2021-08-31,00:16:28,14.139.196.16,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-13,07:13:48,14.139.50.90,GET,/tools/citrinednn,200,youtube.com,https://www.youtube.com/watch?v=Yi0DhVxXWPQ,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:85.0) Gecko/20100101 Firefox/85.0",tool,citrinednn,,,
2021-08-04,08:12:47,141.63.249.190,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,intromllab,,,
2021-08-04,08:15:35,141.63.249.190,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,jupyter,,,
2021-08-20,06:11:47,143.129.130.171,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,intromllab,,,
2021-08-20,06:11:49,143.129.130.171,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,jupyter,,,
2021-08-19,02:01:57,150.242.75.144,GET,/tools/mldefect,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Linux; Android 10; SM-M205F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.111 Mobile Safari/537.36",tool,mldefect,,,
2021-08-20,10:14:35,152.106.99.148,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,intromllab,,,
2021-08-22,16:04:54,152.8.31.105,GET,/tools/struc2lammpsdf/invoke/68,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,struc2lammpsdf,invoke/68,,
2021-08-23,12:35:29,156.56.158.82,GET,/tools/jupyter70/invoke/2,302,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:81.0) Gecko/20100101 Firefox/81.0",tool,jupyter70,invoke/2,,
2021-08-13,07:12:32,157.39.147.141,GET,/tools/citrinednn,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,citrinednn,,,
2021-08-02,21:55:37,157.49.159.45,GET,/tools/citrinednn,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,citrinednn,,,
2021-08-15,00:34:15,160.39.59.117,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,intromllab,,,
2021-08-21,01:31:34,171.240.178.154,GET,/tools/mseml,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,mseml,,,
2021-08-17,16:24:16,172.104.111.142,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,imagesegment,,,
2021-08-03,20:32:17,174.115.62.158,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,intromllab,,,
2021-08-03,20:19:06,174.115.62.158,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,jupyter,,,
2021-08-23,08:39:42,174.248.236.87,GET,/tools/tellurium/invoke/14,302,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.150 Safari/537.36",tool,tellurium,invoke/14,,
2021-08-10,10:59:40,175.136.43.60,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,imagesegment,,,
