request_date,request_time,IP,req,req_URL,RC,refer_name,refer_url,agent,req_type,req_tag,req_residue,resource_type,resource_title
2021-08-07,13:29:51,176.199.210.241,GET,/tools/citrinednn,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,citrinednn,,,
2021-08-06,23:26:02,176.234.9.198,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0",tool,intromllab,,,
2021-08-30,15:06:18,176.59.41.205,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Linux; Android 10; MAR-LX1B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Mobile Safari/537.36",tool,intromllab,,,
2021-08-30,15:03:36,176.59.41.205,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Linux; Android 10; MAR-LX1B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Mobile Safari/537.36",tool,jupyter,,,
2021-08-18,03:31:35,178.164.249.34,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36 OPR/77.0.4054.277",tool,imagesegment,,,
2021-08-20,07:46:11,187.3.221.77,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-20,08:39:07,188.233.216.181,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,imagesegment,,,
2021-08-27,04:56:28,188.76.14.128,GET,/resources/agpvsim,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,agpvsim,,,
2021-08-13,13:01:14,190.138.122.171,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,jupyter,,,
2021-08-26,04:23:19,190.43.183.169,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,imagesegment,,,
2021-08-12,15:36:47,198.102.151.241,GET,/tools/fibstream/invoke/24,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",tool,fibstream,invoke/24,,
2021-08-06,02:26:09,199.247.40.59,GET,/tools/mastmltutorial,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.72 Safari/537.36",tool,mastmltutorial,,,
2021-08-17,20:23:32,203.205.141.117,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,intromllab,,,
2021-08-17,20:22:59,203.205.141.117,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,jupyter,,,
2021-08-18,06:25:06,212.127.69.52,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,imagesegment,,,
2021-08-22,23:04:20,217.165.14.231,GET,/resources/draft?step=1&type=9,200,google.com,https://accounts.google.com/CheckCookie?hl=ar&checkedDomains=youtube&checkConnection=youtube%3A856%3A0&flowName=GeneralOAuthFlow&client_id=80064560730.apps.googleusercontent.com&chtml=LoginDoneHtml&service=lso&continue=https%3A%2F%2Faccounts.google.com%2Fsignin%2Foauth%2Fconsent%3Fauthuser%3Dunknown%26part%3DAJi8hAPWpmbu2anLrspuO8Wp0vapuCoksVXyKFlYrkPIuGwPTpmRGIoEW5bWcM0EwKmA0_xhugXSq1EyoofSttoYbyUON8TUfCrMnKVWhGi5LFdf_54dadEFcnNFD1d2d8ROK4tRq6ILq5ktpxPcrYnwELVunxvr2o7xekSv5ecpkyZ0_RFwRdhL05o9F5PyjXLvQY_pyOCtnN4Feq1LkgTvPUN9VbPxhVjbEimWzmanyYr1ZF3pbgo83vU8F-w3cBUlrS5HY6QNgmeWZ6s94KuMcnNSPYzNjIFUK-PxLT7bA5XaZiIQN-SPWZxi_pqHzECCB7asvmefBWstpktmEsXQKRLEVAdf93iFBQ6nm9vaxMwAUVz30UbOREfkHOLeq6t6C_ACmrgrOPtfN4zvAbL9lV78N30J8A%26as%3DS2030787638%253A1629698605716210%26rapt%3DAEjHL4Ppg4E9qzl3UsQQt6-4bRky2YXUTBxay3g4HFV2ws_XGtt0HPjQ1jIVE1q2A2suRYFrXjsMHNu8vVAHkNALjJXSEdwG4w%23&gidl=EgIIAA,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1",tool,draft,?step=1&type=9,,
2021-08-10,02:04:34,220.231.117.237,GET,/tools/mastmltutorial,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) coc_coc_browser/96.0.230 Chrome/90.0.4430.230 Safari/537.36",tool,mastmltutorial,,,
2021-08-29,10:19:21,24.116.109.209,GET,/tools/ucb_compnano/session?sess=1881188,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,ucb_compnano,session?sess=1881188,,
2021-08-09,10:47:16,37.4.251.182,GET,/tools/mldefect,200,youtube.com,https://www.youtube.com/watch?v=-EfHbtnI25g,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",tool,mldefect,,,
2021-08-18,12:32:54,41.105.112.82,GET,/resources/agpvsim,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 OPR/78.0.4093.147",tool,agpvsim,,,
2021-08-17,03:15:16,41.105.57.95,GET,/resources/agpvsim,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 OPR/78.0.4093.147",tool,agpvsim,,,
2021-08-23,22:26:35,41.108.228.241,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",tool,intromllab,,,
2021-08-23,22:26:42,41.108.228.241,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.73",tool,jupyter,,,
2021-08-14,00:29:21,43.224.109.78,GET,/tools/nanomatmech/,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-M315F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.0 Chrome/75.0.3770.143 Mobile Safari/537.36",tool,nanomatmech,,,
2021-08-11,14:36:29,45.10.128.153,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; CrOS x86_64 13982.69.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.130 Safari/537.36",tool,imagesegment,,,
2021-08-05,00:24:23,46.1.132.199,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.62",tool,intromllab,,,
2021-08-03,10:37:18,47.222.228.8,GET,/tools/cc3dcovid19,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:90.0) Gecko/20100101 Firefox/90.0",tool,cc3dcovid19,,,
2021-08-25,11:56:34,67.185.6.21,GET,/tools/ucb_compnano/invoke/845,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,ucb_compnano,invoke/845,,
2021-08-01,04:18:36,67.22.20.162,GET,/tools/citrinednn,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.70 Safari/537.36 Edg/92.0.902.30",tool,citrinednn,,,
2021-08-09,14:02:24,67.70.67.73,GET,/tools/citrinetools,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,citrinetools,,,
2021-08-21,12:39:32,72.210.59.13,GET,/tools/bandstrlab/invoke/348,200,youtube.com,https://accounts.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,bandstrlab,invoke/348,,
2021-08-15,15:31:21,72.219.69.15,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,intromllab,,,
2021-08-12,21:23:36,72.219.69.15,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 Edg/92.0.902.67",tool,jupyter,,,
2021-08-05,17:16:25,72.80.242.131,GET,/tools/rjupyternb,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,rjupyternb,,,
2021-08-25,14:47:47,73.154.246.24,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,jupyter,,,
2021-08-12,19:54:15,73.58.30.170,GET,/tools/maml,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/92.0.4515.90 Mobile/15E148 Safari/604.1",tool,maml,,,
2021-08-10,02:47:18,77.245.35.206,GET,/tools/extcs,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,extcs,,,
2021-08-30,07:38:57,82.20.197.21,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,imagesegment,,,
2021-08-02,12:07:27,82.5.236.236,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36",tool,intromllab,,,
2021-08-09,01:57:12,83.254.12.142,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.62",tool,intromllab,,,
2021-08-09,01:55:34,83.254.12.142,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.62",tool,jupyter,,,
2021-08-28,07:01:51,83.4.106.89,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-28,07:01:15,83.4.106.89,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,jupyter,,,
2021-08-24,06:51:36,83.84.22.217,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36",tool,intromllab,,,
2021-08-03,04:20:22,94.55.174.71,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36 OPR/77.0.4054.277",tool,imagesegment,,,
2021-08-24,13:23:51,95.70.128.88,GET,/tools/intromllab,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.78",tool,intromllab,,,
2021-08-28,13:21:12,95.70.129.180,GET,/tools/jupyter,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.84",tool,jupyter,,,
2021-08-30,14:44:22,97.98.243.58,GET,/tools/nanomatmech,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0",tool,nanomatmech,,,
2021-08-24,14:04:16,98.223.100.0,GET,/resources/35191,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:91.0) Gecko/20100101 Firefox/91.0",tool,35191,,tools,"tidyverse Data Science Tools for STEM Applications and Datasets "
2021-08-08,18:08:19,99.251.12.189,GET,/tools/imagesegment,200,youtube.com,https://www.youtube.com/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36",tool,imagesegment,,,
